,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
429,RaReiHE,"Legenden beginnen 1965
#PinkFloyd #FCM

Club-Mitglied bei @werderbremen, @1_FCM 
und Fanclub @SektionTWFCM",Deutschland,183,573,26248,0,"13.April.1995 - Gründonnerstag

kurz vor Feierabend um 16:00 Uhr, habe ich die letzte Zigarette geraucht.
Von 40+ a… https://t.co/Ie1TyxqPAa",[]
430,ysrnani,Cry over cuts and stitches not for bastards and bitches 🍺,Hyderabad,182,858,7815,0,"సిగరెట్లు మానేస్తే బాగా బోర్ ఫీలింగ్ కొడుతుంది భయ్యో
#Nosmoking",['Nosmoking']
431,Luckyboy329,"Hey zusammen,

ich bin ein Neustarter in der Streamingszene und hoffe euch mit meinem Content zu unterhalten! Schaut doch gerne mal vorbei!",Deutschland,49,30,531,0,"Guten Morgen meine Freunde! 

9 Std und 42 Minuten ohne Zigarette! Ja ich hab geschlafen. Ich denke, dass das denno… https://t.co/ArgHoMC1En",[]
432,MedXpress1,"6 Hours Guaranteed #homedeliveryservice  #Safe, #Secured & #Contactless #delivery   Order Now: +916372801569 Get our App On PlayStore!","Tulsipur, Cuttack, Odisha",18,9,211,0,"Smoking is Injurious to Health.

Smoking can cause lung disease by damaging your airways and the small air sacs (al… https://t.co/6Toiy0qs5x",[]
433,ilonavan_imp,"Stel jezelf elke dag de volgende vraag...
Wat vond ik het leukst van vandaag❓ 😊🙌💕",,1155,89,7710,0,2 jaar geleden stak ik op deze dag geen sigaret  meer op....nog steeds niet trouwens💪🙌 #nosmoking,['nosmoking']
434,Luckyboy329,"Hey zusammen,

ich bin ein Neustarter in der Streamingszene und hoffe euch mit meinem Content zu unterhalten! Schaut doch gerne mal vorbei!",Deutschland,49,30,531,0,"Die ersten 3 Stunden ohne Zigarette! 

Ich hoffe, ich krieg den Stop, wenn ich Leute hier habe die kritisch auf Mel… https://t.co/2UutKTbTFp",[]
435,JoanneMacIntyre,"Just a BookWhore! I love Reading. I ""collect"" Authors. You write it, I'll read it",Ontario Canada,808,598,16664,0,Almost 24 hrs without a #cigarette ! Woot woot go me #IQuit #NoSmoking,"['cigarette', 'IQuit', 'NoSmoking']"
436,JoanneMacIntyre,"Just a BookWhore! I love Reading. I ""collect"" Authors. You write it, I'll read it",Ontario Canada,808,598,16664,0,Day 1 #cigarettefree and I'm doing ok.... im a little grumpy.... #noSmoking #ICanDoThis,"['cigarettefree', 'noSmoking', 'ICanDoThis']"
437,Crypto_Hux,,"Berlin, Deutschland",139,18,208,0,Wieso hielt und hält die #NoCovid Gefolgschaft eigentlich keine #NoAlkohol #NoSmoking #NoInfluenca #NoCarAccidents… https://t.co/hph3m44iWG,"['NoCovid', 'NoAlkohol', 'NoSmoking', 'NoInfluenca', 'NoCarAccidents']"
438,storyofcherie,OCRP. Cherie Red Attitude.,"Bali, Indonesia",603,590,24420,0,#nosmoking yeah great campaign https://t.co/41Gsb4TV5l,['nosmoking']
