,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
206,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Brown Ribbon Month!
#worldnotobaccoday #abovetheinfluence #truthcampaign #smokingkills #stroke #heartdisease… https://t.co/qVFPdwS5DJ","['worldnotobaccoday', 'abovetheinfluence', 'truthcampaign', 'smokingkills', 'stroke', 'heartdisease', 'cancer']"
207,HealthyFLPBC,Florida Department of Health in Palm Beach County.  Disclaimer: http://goo.gl/2FBxF3,"Palm Beach County, FL",349,5076,779,2,"Brown Ribbon Month!
#worldnotobaccoday #abovetheinfluence #truthcampaign #smokingkills #stroke #heartdisease… https://t.co/qVFPdwS5DJ","['worldnotobaccoday', 'abovetheinfluence', 'truthcampaign', 'smokingkills', 'stroke', 'heartdisease']"
208,ladynationalist,धन्य: अस्मि भारतत्वेन । महादेव❤️,भारत,141,1134,55349,0,"@theprernaa @Urrmi_ Whichever qualifies or disqualifies ?
#StatutoryWarning #SmokingKills https://t.co/KHkGrYIzwB","['StatutoryWarning', 'SmokingKills']"
209,dee_rawat,"I think of myself as an intelligent, sensitive human being with the soul of a clown which always forces me to blow it at the most important moments.",India,151,167,1269,1,"@theprernaa @Urrmi_ Whichever qualifies or disqualifies ?
#StatutoryWarning #SmokingKills https://t.co/KHkGrYIzwB","['StatutoryWarning', 'SmokingKills']"
210,Hypnosis4Prog,"Friendly and fully qualified clinical hypnotherapist based in Cannock, Staffordshire. I can help you to quit smoking, lose weight, beat phobias & so much more!",Cannock Staffordshire,1454,599,1039,0,AND... There’s yet ANOTHER non smoker amongst us today!  Just TWO HOURS &amp; blasted!👊💥 Who’s next?!… https://t.co/eRckdy0MDR,[]
211,SUZZZUKI,,東京,190,46,12255,0,"なんだかインパクトのある顔だそうです。初耳。
起用感謝。

#MADEINWORLD #MIW #JAPAN #SHIBUYA #fxxkingrabbits #Smokingkills #FR2HARAJUKU… https://t.co/tDokObudKW","['MADEINWORLD', 'MIW', 'JAPAN', 'SHIBUYA', 'fxxkingrabbits', 'Smokingkills', 'FR2HARAJUKU', 'fcmachidazelvia']"
212,ChongTese9,テセキムチをよろしくお願いします。,静岡 清水区,416,84311,10796,1,"なんだかインパクトのある顔だそうです。初耳。
起用感謝。

#MADEINWORLD #MIW #JAPAN #SHIBUYA #fxxkingrabbits #Smokingkills #FR2HARAJUKU… https://t.co/tDokObudKW","['MADEINWORLD', 'MIW', 'JAPAN', 'SHIBUYA', 'fxxkingrabbits', 'Smokingkills', 'FR2HARAJUKU']"
213,DrAnshuRohatgi,Dr. Anshu Rohatgi is a neurologist with a vast clinical experience practicing in New Delhi.,"Delhi, India",0,0,20,0,"Symptoms of Intractable Epilepsy - Dr Anshu Rohatgi

#DrAnshuRohatgi #DEMENTIA #strokesymptoms #stroke #neurologist… https://t.co/DNzuM4WWkQ","['DrAnshuRohatgi', 'DEMENTIA', 'strokesymptoms', 'stroke', 'neurologist']"
214,deadlift120,Cheers2life 🍻,"Hyderabad, India",20,8,130,0,"Smoking is injurious, so does stress... #nightphotography #smokingkills https://t.co/mkpPht7yLM","['nightphotography', 'smokingkills']"
215,foullonL,"SPEED KILLS. Please drive patiently! Security ≠ police. RT ≠ endorsement. SOLD http://sailboat-sold.strikingly.com. Image: Parental crypt, France","Sarasota, FL",473,150,33028,0,That ad below is a tribute or take-off on the brand by a fan (https://t.co/0MSUSH1yjA). #relievestension… https://t.co/CKS5QYYfXw,['relievestension']
216,CodeDebYT,You Tuber. I talk abt Pop Culture YT: https://www.youtube.com/c/codedeb | #FreeBritney | #TheBlacklist | #GlutenFree,,320,344,9422,0,Just smelled VILE cigarette smoke for the first time in over a year. 🤬 I had forgotten how awful it triggers my sen… https://t.co/vBx2fafCgo,[]
217,itz_thunderx,,Pakistan,36,9,52,0,"Lmao @muneebkimemes2

#memes #meme #cigarettes #smoking #smokingkills https://t.co/irF5T8aZbe","['memes', 'meme', 'cigarettes', 'smoking', 'smokingkills']"
218,terminate_ct,受動喫煙のない社会にしたいです。昔から受動喫煙に苦しんできました。改善の遅さに失望する毎日。賛同して下さる方相互フォローお願いします🤲,,701,709,7057,0,"@bird23518138 家庭でのことはDV。よそ様に対しては他者危害、あるいは暴力。
#ヤニカス
#smokingkills
#人の時を奪う
#受動喫煙に反対します","['ヤニカス', 'smokingkills', '人の時を奪う', '受動喫煙に反対します']"
219,roshcov,"Digital Artist, Photographer & Graphic Designer
http://foundation.app/roshcov","Barcelona, Spain",75,79,282,0,"PLANT MORE AND DON'T SMOKE✌️

This is one of my artworks from collection with hands.
You can check more of my works… https://t.co/EcwuSBYpt0",[]
220,kikenkikenkike,元喫煙者 電子、加熱タバコ過敏症毎日 し○そうです。,日本 東京,310,161,6188,0,"まあ、生存権のようなもんだ。
侵害してるヤツには分からんだろうな( ͡° ͜ʖ ͡°)
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/kJxY6iC6I8","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
221,Chinmay02188756,"if you have a juicy pussy, then I want to lick and suck your pussy... 
if you are a shemale then I love to suck your cock...",,176,69,258,0,"@raimasen #smokingkills smoking kills me later first you, your cuteness &amp; charm will definitely. love you girl… https://t.co/KVA2Q1tzvn","['smokingkills', 'RaimaSen']"
222,FijiCancer,Fiji Cancer Society is a non profit organisation dedicated to assist those who are diagnosed with Cancer.,"2/333 Waimanu Rd, Suva, Fiji.",40,104,263,0,"A build-up towards World No Tobacco Day 2021. A brief training on tobacco cessation today.

Thanks to World Health… https://t.co/SsxeUZG8SA",[]
223,ketsuyamens,このアカウンコは竿付きNsが2022年度産業保健師転職し35歳までに独立する物語です。(仮),詰所の角 since2021 卍パワハラ絡みまぢいらん卍,359,371,943,0,"アラサー、お香にハマる
#香十
#SmokingKills https://t.co/tCBGT3ffaF","['香十', 'SmokingKills']"
